X,Erf
-7.938000000000001,-1.0
-7.936,-1.0
-7.934,-1.0
-7.932,-1.0
-7.93,-1.0
-7.928,-1.0
-7.926,-1.0
-7.9239999999999995,-1.0
-7.922000000000001,-1.0
-7.92,-1.0
-7.918,-1.0
-7.916,-1.0
-7.914,-1.0
-7.912,-1.0
-7.91,-1.0
-7.9079999999999995,-1.0
-7.906000000000001,-1.0
-7.904,-1.0
-7.902,-1.0
-7.9,-1.0
-7.898,-1.0
-7.896,-1.0
-7.894,-1.0
-7.8919999999999995,-1.0
-7.890000000000001,-1.0
-7.888,-1.0
-7.886,-1.0
-7.884,-1.0
-7.882,-1.0
-7.88,-1.0
-7.878,-1.0
-7.8759999999999994,-1.0
-7.8740000000000006,-1.0
-7.872,-1.0
-7.87,-1.0
-7.868,-1.0
-7.866,-1.0
-7.864,-1.0
-7.862,-1.0
-7.859999999999999,-1.0
-7.8580000000000005,-1.0
-7.856,-1.0
-7.854,-1.0
-7.852,-1.0
-7.85,-1.0
-7.848,-1.0
-7.846,-1.0
-7.843999999999999,-1.0
-7.8420000000000005,-1.0
-7.84,-1.0
-7.838,-1.0
-7.836,-1.0
-7.834,-1.0
-7.832,-1.0
-7.83,-1.0
-7.827999999999999,-1.0
-7.8260000000000005,-1.0
-7.824,-1.0
-7.822,-1.0
-7.82,-1.0
-7.818,-1.0
-7.816,-1.0
-7.814,-1.0
-7.811999999999999,-1.0
-7.8100000000000005,-1.0
-7.808,-1.0
-7.806,-1.0
-7.804,-1.0
-7.802,-1.0
-7.8,-1.0
-7.798,-1.0
-7.795999999999999,-1.0
-7.7940000000000005,-1.0
-7.792,-1.0
-7.79,-1.0
-7.788,-1.0
-7.786,-1.0
-7.784,-1.0
-7.782,-1.0
-7.779999999999999,-1.0
-7.7780000000000005,-1.0
-7.776,-1.0
-7.774,-1.0
-7.772,-1.0
-7.77,-1.0
-7.768,-1.0
-7.766,-1.0
-7.763999999999999,-1.0
-7.7620000000000005,-1.0
-7.76,-1.0
-7.758,-1.0
-7.756,-1.0
-7.754,-1.0
-7.752,-1.0
-7.75,-1.0
-7.747999999999999,-1.0
-7.746,-1.0
-7.744,-1.0
-7.742,-1.0
-7.74,-1.0
-7.7379999999999995,-1.0
-7.736,-1.0
-7.734,-1.0
-7.731999999999999,-1.0
-7.73,-1.0
-7.728,-1.0
-7.726,-1.0
-7.724,-1.0
-7.7219999999999995,-1.0
-7.72,-1.0
-7.718,-1.0
-7.715999999999999,-1.0
-7.714,-1.0
-7.712,-1.0
-7.71,-1.0
-7.708,-1.0
-7.7059999999999995,-1.0
-7.704,-1.0
-7.702,-1.0
-7.699999999999999,-1.0
-7.698,-1.0
-7.696,-1.0
-7.694,-1.0
-7.692,-1.0
-7.6899999999999995,-1.0
-7.688000000000001,-1.0
-7.686,-1.0
-7.684,-1.0
-7.682,-1.0
-7.68,-1.0
-7.678,-1.0
-7.676,-1.0
-7.6739999999999995,-1.0
-7.672000000000001,-1.0
-7.67,-1.0
-7.668,-1.0
-7.666,-1.0
-7.664,-1.0
-7.662,-1.0
-7.66,-1.0
-7.6579999999999995,-1.0
-7.656000000000001,-1.0
-7.654,-1.0
-7.652,-1.0
-7.65,-1.0
-7.648,-1.0
-7.646,-1.0
-7.644,-1.0
-7.6419999999999995,-1.0
-7.640000000000001,-1.0
-7.638,-1.0
-7.636,-1.0
-7.634,-1.0
-7.632,-1.0
-7.63,-1.0
-7.628,-1.0
-7.6259999999999994,-1.0
-7.6240000000000006,-1.0
-7.622,-1.0
-7.62,-1.0
-7.618,-1.0
-7.616,-1.0
-7.614,-1.0
-7.612,-1.0
-7.609999999999999,-1.0
-7.6080000000000005,-1.0
-7.606,-1.0
-7.604,-1.0
-7.602,-1.0
-7.6,-1.0
-7.598,-1.0
-7.596,-1.0
-7.593999999999999,-1.0
-7.5920000000000005,-1.0
-7.59,-1.0
-7.588,-1.0
-7.586,-1.0
-7.584,-1.0
-7.582,-1.0
-7.58,-1.0
-7.577999999999999,-1.0
-7.5760000000000005,-1.0
-7.574,-1.0
-7.572,-1.0
-7.57,-1.0
-7.568,-1.0
-7.566,-1.0
-7.564,-1.0
-7.561999999999999,-1.0
-7.5600000000000005,-1.0
-7.558,-1.0
-7.556,-1.0
-7.554,-1.0
-7.552,-1.0
-7.55,-1.0
-7.548,-1.0
-7.545999999999999,-1.0
-7.5440000000000005,-1.0
-7.542,-1.0
-7.54,-1.0
-7.538,-1.0
-7.536,-1.0
-7.534,-1.0
-7.532,-1.0
-7.529999999999999,-1.0
-7.5280000000000005,-1.0
-7.526,-1.0
-7.524,-1.0
-7.522,-1.0
-7.52,-1.0
-7.518,-1.0
-7.516,-1.0
-7.513999999999999,-1.0
-7.5120000000000005,-1.0
-7.51,-1.0
-7.508,-1.0
-7.506,-1.0
-7.504,-1.0
-7.502,-1.0
-7.5,-1.0
-7.497999999999999,-1.0
-7.496,-1.0
-7.494,-1.0
-7.492,-1.0
-7.49,-1.0
-7.4879999999999995,-1.0
-7.486,-1.0
-7.484,-1.0
-7.481999999999999,-1.0
-7.48,-1.0
-7.478,-1.0
-7.476,-1.0
-7.474,-1.0
-7.4719999999999995,-1.0
-7.47,-1.0
-7.468,-1.0
-7.465999999999999,-1.0
-7.464,-1.0
-7.462,-1.0
-7.46,-1.0
-7.458,-1.0
-7.4559999999999995,-1.0
-7.454,-1.0
-7.452,-1.0
-7.449999999999999,-1.0
-7.448,-1.0
-7.446,-1.0
-7.444,-1.0
-7.442,-1.0
-7.4399999999999995,-1.0
-7.438000000000001,-1.0
-7.436,-1.0
-7.434,-1.0
-7.432,-1.0
-7.43,-1.0
-7.428,-1.0
-7.426,-1.0
-7.4239999999999995,-1.0
-7.422000000000001,-1.0
-7.42,-1.0
-7.418,-1.0
-7.416,-1.0
-7.414,-1.0
-7.412,-1.0
-7.41,-1.0
-7.4079999999999995,-1.0
-7.406000000000001,-1.0
-7.404,-1.0
-7.402,-1.0
-7.4,-1.0
-7.398,-1.0
-7.396,-1.0
-7.394,-1.0
-7.3919999999999995,-1.0
-7.390000000000001,-1.0
-7.388,-1.0
-7.386,-1.0
-7.384,-1.0
-7.382,-1.0
-7.38,-1.0
-7.378,-1.0
-7.3759999999999994,-1.0
-7.3740000000000006,-1.0
-7.372,-1.0
-7.37,-1.0
-7.368,-1.0
-7.366,-1.0
-7.364,-1.0
-7.362,-1.0
-7.359999999999999,-1.0
-7.3580000000000005,-1.0
-7.356,-1.0
-7.354,-1.0
-7.352,-1.0
-7.35,-1.0
-7.348,-1.0
-7.346,-1.0
-7.343999999999999,-1.0
-7.3420000000000005,-1.0
-7.34,-1.0
-7.338,-1.0
-7.336,-1.0
-7.334,-1.0
-7.332,-1.0
-7.33,-1.0
-7.327999999999999,-1.0
-7.3260000000000005,-1.0
-7.324,-1.0
-7.322,-1.0
-7.32,-1.0
